semantic_identity,question_id,role,proposed_form_count,accepted_form_count,published_form_count
question:budget:budgetyear-otherdirectcosts-otherdirectcost7-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost7-description,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost8-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost8-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost8-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost8-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost8-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost8-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost8-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost8-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost8-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost8-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost8-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost8-description,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost9-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost9-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost9-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost9-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost9-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost9-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost9-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost9-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost9-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost9-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost9-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost9-description,subaward_applicant_budget,1,0,0
